id	amount	month	date	orig	dest	cause
8	1000	12	16	Beijing	Jiangsu	Culture
9	15	12	N/A	Beijing	Beijing	Culture
123	0.75	8	1	Guangdong	Jiangsu	Culture
124	10	3	16	Guangdong	Shanxi	Culture
250	20.055	5	3	Heilongjiang	Beijing	Culture
251	17.00139	6	15	Heilongjiang	Beijing	Culture
252	13.013821	9	27	Heilongjiang	Beijing	Culture
253	5	4	28	Heilongjiang	Beijing	Culture
254	5	8	9	Heilongjiang	Beijing	Culture
337	1.8			Jiangsu	Jiangsu	Culture
10	3.54	7	13	Beijing	Sichuan	Disaster Relief
11	0.89701	12	17	Beijing	Sichuan	Disaster Relief
12	0.66051	12	17	Beijing	Sichuan	Disaster Relief
13	0.628585	12	17	Beijing	Sichuan	Disaster Relief
14	0.39718	12	17	Beijing	Sichuan	Disaster Relief
15	0.28148	12	17	Beijing	Sichuan	Disaster Relief
16	0.25695	12	17	Beijing	Sichuan	Disaster Relief
17	0.25505	12	17	Beijing	Sichuan	Disaster Relief
18	0.247831	12	17	Beijing	Sichuan	Disaster Relief
19	0.1762	12	17	Beijing	Sichuan	Disaster Relief
20	0.14984	12	17	Beijing	Sichuan	Disaster Relief
21	0.14495	12	17	Beijing	Sichuan	Disaster Relief
22	0.1393	12	17	Beijing	Sichuan	Disaster Relief
23	0.1037	12	17	Beijing	Sichuan	Disaster Relief
24	10	9		Beijing	Tianjin	Disaster Relief
25	0.5403821	3		Beijing	Hebei	Disaster Relief
26	0.3985727	7		Beijing	Hubei	Disaster Relief
27	0.34165333	3		Beijing	Jiangsu	Disaster Relief
28	0.12882	10		Beijing	Tianjin	Disaster Relief
29	0.1008695	7		Beijing	Fujian	Disaster Relief
30	0.1002445	7		Beijing	Hubei	Disaster Relief
31	0.08608786	3		Beijing	Liaoning	Disaster Relief
32	0.0717944	3		Beijing	Liaoning	Disaster Relief
33	0.02372	3		Beijing	Shanxi	Disaster Relief
34	0.012882	10		Beijing	Tianjin	Disaster Relief
35	4	7	24	Beijing	Hainan	Disaster Relief
36	2	7	11	Beijing	Hubei	Disaster Relief
119	8	12	15	Fujian	Beijing	Disaster Relief
257	10	6	24	Hong Kong	Jiangsu	Disaster Relief
260	6	7	8	Hubei	Hubei	Disaster Relief
261	1	7	16	Hubei	Hubei	Disaster Relief
338	1.5	8	26	Jiangsu	Italy	Disaster Relief
339	1	8	3.25	Jiangsu	Hubei	Disaster Relief
340	1	8	3.25	Jiangsu	Hunan	Disaster Relief
341	1	8	3.25	Jiangsu	Anhui	Disaster Relief
342	1	8	3.25	Jiangsu	Guizhou	Disaster Relief
343	1	8	3.25	Jiangsu	Yunnan	Disaster Relief
344	1	8	3.25	Jiangsu	Guangxi	Disaster Relief
345	1	8	3.25	Jiangsu	Jiangxi	Disaster Relief
346	1	8	3.25	Jiangsu	Chongqing	Disaster Relief
398	18.5	9	10	Tianjin	Tianjin	Disaster Relief
399	10	6		Tianjin	Jiangsu	Disaster Relief
407	0.25	7	27	Zhejiang	Hubei	Disaster Relief
408	0.25	7	27	Zhejiang	Hunan	Disaster Relief
409	0.25	7	27	Zhejiang	Anhui	Disaster Relief
410	0.25	7	27	Zhejiang	Guizhou	Disaster Relief
411	0.25	7	27	Zhejiang	Yunnan	Disaster Relief
412	0.25	7	27	Zhejiang	Guangxi	Disaster Relief
413	0.25	7	27	Zhejiang	Jiangxi	Disaster Relief
414	0.25	7	27	Zhejiang	Chongqing	Disaster Relief
37	700	12	21	Beijing	Shanghai	Education
38	50	5	8	Beijing	Shandong	Education
39	50	5	8	Beijing	Hubei	Education
40	50	5	8	Beijing	Guangxi	Education
41	50	5	8	Beijing	Guizhou	Education
42	50	5	8	Beijing	Chongqing	Education
43	50	5	8	Beijing	Shanxi	Education
44	10	7	20	Beijing	Shandong	Education
45	200	10	16	Beijing	Beijing	Education
46	50	11	19	Beijing	Zhejiang	Education
47	10	12	19	Beijing	Jiangsu	Education
48	1	1	11	Beijing	Guangdong	Education
49	0.3	1	10	Beijing	Guangdong	Education
50	0.3	9	21	Beijing	Guizhou	Education
51	0.3	11	27	Beijing	Shandong	Education
52	180	4	22	Beijing	Beijing	Education
53	110	12	7	Beijing	Guangdong	Education
54	100	3	23	Beijing	Beijing	Education
55	100	12	4	Beijing	Beijing	Education
56	15	1	12	Beijing	Beijing	Education
57	10	4	20	Beijing	Beijing	Education
58	6.5	3	4	Beijing	Shanghai	Education
59	5	3	31	Beijing	Beijing	Education
60	1.427	12	17	Beijing	Beijing	Education
61	0.45925	12	17	Beijing	Beijing	Education
62	0.43966	12	17	Beijing	Beijing	Education
63	0.35557	12	17	Beijing	Beijing	Education
64	0.339	12	17	Beijing	Beijing	Education
65	0.27301	12	17	Beijing	Beijing	Education
66	0.224425	12	17	Beijing	Beijing	Education
67	0.18877	12	17	Beijing	Beijing	Education
68	0.150018	12	17	Beijing	Beijing	Education
69	0.1183	12	17	Beijing	Beijing	Education
70	0.10625	12	17	Beijing	Beijing	Education
71	0.034634333	12	17	Beijing	Beijing	Education
72	30	11	12	Beijing	Sichuan	Education
73	2	11		Beijing	Beijing	Education
74	1	9		Beijing	Shanghai	Education
75	0.3477	7		Beijing	Guangxi	Education
76	0.25	9		Beijing	Guangxi	Education
77	20	7	2	Beijing	Beijing	Education
78	10	11	28	Beijing	Fujian	Education
79	5	7	5	Beijing	Tianjin	Education
80	1	6	24	Beijing	Hubei	Education
81	10.38432149	9	7	Beijing	Tianjin	Education
82	10	11	2	Beijing	Guangdong	Education
83	10	9	10	Beijing	Liaoning	Education
84	9	9	22	Beijing	Beijing	Education
85	1	9	22	Beijing	Beijing	Education
86	9	11		Beijing	Guangdong	Education
87	0.8	5	28	Beijing	Beijing	Education
88	0.8	5	28	Beijing	Tianjin	Education
89	0.8	5	28	Beijing	Wuhan	Education
90	0.8	5	28	Beijing	Sichuan	Education
91	0.8	5	28	Beijing	Shanghai	Education
92	0.02171	5	29	Beijing	Shanxi	Education
120	100	5	2	Fujian	Beijing	Education
121	2	4	11	Fujian	Fujian	Education
125	2095.1	5	22	Guangdong	Worldwide	Education
126	6.4992	3	12	Guangdong	California	Education
127	100	9	17	Guangdong	Guangdong	Education
128	3	9	16	Guangdong	Shaanxi	Education
129	200	5	3	Guangdong	Beijing	Education
130	120	7	31	Guangdong	Guangdong	Education
131	60	12	22	Guangdong	Beijing	Education
132	2	11	4	Guangdong	Beijing	Education
133	0.9	3	16	Guangdong	Shanghai	Education
134	30	9	17	Guangdong	Guangdong	Education
135	30	9	17	Guangdong	Guangdong	Education
136	22.67	8	15	Guangdong	Beijing	Education
137	3	1	9	Guangdong	Guangdong	Education
138	3	9	9	Guangdong	Guangdong	Education
139	20	11	10	Guangdong	Hubei	Education
140	5	12	24	Guangdong	Hunan	Education
141	5	12	31	Guangdong	Hunan	Education
142	0.72	12	2	Guangdong	Hunan	Education
143	90	3	18	Guangdong	Guangdong	Education
144	10	3	18	Guangdong	Guangdong	Education
145	10	12	30	Guangdong	Hunan	Education
242	10	9	5	Guizhou	Guizhou	Education
245	30	10	26	Hebei	Yunnan	Education
246	10	9	30	Hebei	Beijing	Education
247	10	9	30	Hebei	Beijing	Education
255	7	12	24	Henan	Henan	Education
256	1	11	27	Henan	Henan	Education
258	10	9	8	Hong Kong	Unspecified	Education
259	8.94	12	31	Hong Kong	Guangdong	Education
262	1	9	6	Hubei	Hubei	Education
263	2.3	11	18	Hubei	Hubei	Education
264	30	5	24	Hubei	Hubei	Education
280	3	6	10	Hunan	Hunan	Education
281	3	6	29	Hunan	Hunan	Education
282	20	12	25	Hunan	Hubei	Education
283	0.45	12	10	Hunan	Hunan	Education
