id	amount	month	date	orig	dest	cause
1	50	1	28	Anhui	Hubei	Social Welfare & Poverty Alleviation
2	9	8	3	Anhui	Guangdong	Social Welfare & Poverty Alleviation
3	9	8	3	Anhui	Guangdong	Social Welfare & Poverty Alleviation
4	9	8	3	Anhui	Guangdong	Social Welfare & Poverty Alleviation
5	9	8	3	Anhui	Guangdong	Social Welfare & Poverty Alleviation
6	9	8	3	Anhui	Guangdong	Social Welfare & Poverty Alleviation
7	5	8	3	Anhui	Guangdong	Social Welfare & Poverty Alleviation
108	93.18	4	11	Beijing	Yunnan	Social Welfare & Poverty Alleviation
109	10	2	2	Beijing	Liaoning	Social Welfare & Poverty Alleviation
110	1300	8	29	Beijing	Beijing	Social Welfare & Poverty Alleviation
111	0.034634333	12	17	Beijing	Beijing	Social Welfare & Poverty Alleviation
118	27.5	5	30	Chongqing	Chongqing	Social Welfare & Poverty Alleviation
122	8	2	23	Fujian	Fujian	Social Welfare & Poverty Alleviation
150	1000	1	8	Guangdong	Guizhou	Social Welfare & Poverty Alleviation
151	5	7	12	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
152	5	7	12	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
153	5	7	12	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
154	5	7	12	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
155	4	7	12	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
156	500	7	8	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
157	5	10	31	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
158	5	10	31	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
159	5	10	31	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
160	5	10	31	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
161	5	1	25	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
162	5	1	25	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
163	5	10	29	Guangdong	Guangdong	Social Welfare & Poverty Alleviation
