id	amount	month	date	orig	dest	cause
37	700	12	21	Beijing	Shanghai	Education
38	50	5	8	Beijing	Shandong	Education
39	50	5	8	Beijing	Hubei	Education
40	50	5	8	Beijing	Guangxi	Education
41	50	5	8	Beijing	Guizhou	Education
42	50	5	8	Beijing	Chongqing	Education
43	50	5	8	Beijing	Shanxi	Education
44	10	7	20	Beijing	Shandong	Education
45	200	10	16	Beijing	Beijing	Education
46	50	11	19	Beijing	Zhejiang	Education
47	10	12	19	Beijing	Jiangsu	Education
48	1	1	11	Beijing	Guangdong	Education
49	0.3	1	10	Beijing	Guangdong	Education
50	0.3	9	21	Beijing	Guizhou	Education
51	0.3	11	27	Beijing	Shandong	Education
52	180	4	22	Beijing	Beijing	Education
53	110	12	7	Beijing	Guangdong	Education
54	100	3	23	Beijing	Beijing	Education
55	100	12	4	Beijing	Beijing	Education
56	15	1	12	Beijing	Beijing	Education
57	10	4	20	Beijing	Beijing	Education
58	6.5	3	4	Beijing	Shanghai	Education
59	5	3	31	Beijing	Beijing	Education
60	1.427	12	17	Beijing	Beijing	Education
61	0.45925	12	17	Beijing	Beijing	Education
62	0.43966	12	17	Beijing	Beijing	Education
63	0.35557	12	17	Beijing	Beijing	Education
64	0.339	12	17	Beijing	Beijing	Education
65	0.27301	12	17	Beijing	Beijing	Education
66	0.224425	12	17	Beijing	Beijing	Education
67	0.18877	12	17	Beijing	Beijing	Education
68	0.150018	12	17	Beijing	Beijing	Education
69	0.1183	12	17	Beijing	Beijing	Education
70	0.10625	12	17	Beijing	Beijing	Education
71	0.034634333	12	17	Beijing	Beijing	Education
72	30	11	12	Beijing	Sichuan	Education
73	2	11		Beijing	Beijing	Education
74	1	9		Beijing	Shanghai	Education
75	0.3477	7		Beijing	Guangxi	Education
76	0.25	9		Beijing	Guangxi	Education
77	20	7	2	Beijing	Beijing	Education
78	10	11	28	Beijing	Fujian	Education
79	5	7	5	Beijing	Tianjin	Education
80	1	6	24	Beijing	Hubei	Education
81	10.38432149	9	7	Beijing	Tianjin	Education
82	10	11	2	Beijing	Guangdong	Education
83	10	9	10	Beijing	Liaoning	Education
84	9	9	22	Beijing	Beijing	Education
85	1	9	22	Beijing	Beijing	Education
86	9	11		Beijing	Guangdong	Education
87	0.8	5	28	Beijing	Beijing	Education
88	0.8	5	28	Beijing	Tianjin	Education
89	0.8	5	28	Beijing	Wuhan	Education
90	0.8	5	28	Beijing	Sichuan	Education
91	0.8	5	28	Beijing	Shanghai	Education
92	0.02171	5	29	Beijing	Shanxi	Education
120	100	5	2	Fujian	Beijing	Education
121	2	4	11	Fujian	Fujian	Education
125	2095.1	5	22	Guangdong	Worldwide	Education
126	6.4992	3	12	Guangdong	California	Education
127	100	9	17	Guangdong	Guangdong	Education
128	3	9	16	Guangdong	Shaanxi	Education
129	200	5	3	Guangdong	Beijing	Education
130	120	7	31	Guangdong	Guangdong	Education
131	60	12	22	Guangdong	Beijing	Education
132	2	11	4	Guangdong	Beijing	Education
133	0.9	3	16	Guangdong	Shanghai	Education
134	30	9	17	Guangdong	Guangdong	Education
135	30	9	17	Guangdong	Guangdong	Education
136	22.67	8	15	Guangdong	Beijing	Education
137	3	1	9	Guangdong	Guangdong	Education
138	3	9	9	Guangdong	Guangdong	Education
139	20	11	10	Guangdong	Hubei	Education
140	5	12	24	Guangdong	Hunan	Education
141	5	12	31	Guangdong	Hunan	Education
142	0.72	12	2	Guangdong	Hunan	Education
143	90	3	18	Guangdong	Guangdong	Education
144	10	3	18	Guangdong	Guangdong	Education
145	10	12	30	Guangdong	Hunan	Education
242	10	9	5	Guizhou	Guizhou	Education
245	30	10	26	Hebei	Yunnan	Education
246	10	9	30	Hebei	Beijing	Education
247	10	9	30	Hebei	Beijing	Education
255	7	12	24	Henan	Henan	Education
256	1	11	27	Henan	Henan	Education
258	10	9	8	Hong Kong	Unspecified	Education
259	8.94	12	31	Hong Kong	Guangdong	Education
262	1	9	6	Hubei	Hubei	Education
263	2.3	11	18	Hubei	Hubei	Education
264	30	5	24	Hubei	Hubei	Education
280	3	6	10	Hunan	Hunan	Education
281	3	6	29	Hunan	Hunan	Education
282	20	12	25	Hunan	Hubei	Education
283	0.45	12	10	Hunan	Hunan	Education
284	0.3	12	11	Hunan	Hunan	Education
285	0.3	12	11	Hunan	Hunan	Education
286	0.3	12	11	Hunan	Hunan	Education
287	0.3	12	11	Hunan	Hunan	Education
288	0.3	12	14	Hunan	Hunan	Education
289	0.3	12	14	Hunan	Hunan	Education
290	0.3	12	14	Hunan	Hunan	Education
291	0.3	12	15	Hunan	Hunan	Education
292	0.3	12	15	Hunan	Hunan	Education
293	0.3	12	17	Hunan	Hunan	Education
294	0.3	12	17	Hunan	Hunan	Education
295	0.3	12	18	Hunan	Hunan	Education
296	0.3	12	18	Hunan	Hunan	Education
297	0.3	12	10	Hunan	Hunan	Education
298	0.15	12	15	Hunan	Hunan	Education
299	0.15	12	15	Hunan	Hunan	Education
300	0.15	12	15	Hunan	Hunan	Education
301	0.15	12	15	Hunan	Hunan	Education
302	0.15	12	15	Hunan	Hunan	Education
303	0.15	12	15	Hunan	Hunan	Education
304	0.15	12	15	Hunan	Hunan	Education
305	0.15	12	15	Hunan	Hunan	Education
306	0.15	12	18	Hunan	Hunan	Education
307	0.15	12	18	Hunan	Hunan	Education
308	0.15	12	18	Hunan	Hunan	Education
309	0.15	12	18	Hunan	Hunan	Education
310	0.15	12	18	Hunan	Hunan	Education
311	0.15	12	18	Hunan	Hunan	Education
312	0.15	12	18	Hunan	Hunan	Education
313	0.15	12	18	Hunan	Hunan	Education
314	0.15	12	17	Hunan	Hunan	Education
315	0.15	12	17	Hunan	Hunan	Education
316	0.15	12	17	Hunan	Hunan	Education
317	0.15	12	17	Hunan	Hunan	Education
318	0.15	12	17	Hunan	Hunan	Education
319	0.15	12	17	Hunan	Hunan	Education
320	0.15	12	10	Hunan	Hunan	Education
321	0.15	12	10	Hunan	Hunan	Education
322	0.15	12	10	Hunan	Hunan	Education
323	0.15	12	10	Hunan	Hunan	Education
324	0.15	12	10	Hunan	Hunan	Education
325	0.15	12	11	Hunan	Hunan	Education
326	0.15	12	11	Hunan	Hunan	Education
327	0.15	12	11	Hunan	Hunan	Education
328	0.15	12	11	Hunan	Hunan	Education
329	0.15	12	14	Hunan	Hunan	Education
330	0.15	12	14	Hunan	Hunan	Education
331	0.15	12	14	Hunan	Hunan	Education
332	0.15	12	14	Hunan	Hunan	Education
333	0.1	12	18	Hunan	Hunan	Education
347	1	4	3	Jiangsu	Shaanxi	Education
348	1	4	3	Jiangsu	Ningxia	Education
349	1	4	3	Jiangsu	Inner Mongolia	Education
350	1	4	3	Jiangsu	Gansu	Education
351	1	4	3	Jiangsu	Qinghai	Education
352	1	4	3	Jiangsu	Xinjiang	Education
353	15	6	24	Jiangsu	Jiangsu	Education
371	50	9	16	Jiangxi	Liaoning	Education
372	9	10	12	Jiangxi	Hubei	Education
373	5	9	29	Liaoning	Liaoning	Education
374	1.25	10	27	Liaoning	Liaoning	Education
376	65	12		Ningxia	Ningxia	Education
377	60	10		Ningxia	Ningxia	Education
378	30	9	17	Shandong	Guangdong	Education
379	2	11	12	Shanghai	Beijing	Education
380	100	1	8	Shanghai	Zhejiang	Education
381	65	11	3	Shanghai	Shanghai	Education
382	0.5	12	26	Shanghai	Shanghai	Education
383	20	3	31	Shanghai	Shanghai	Education
384	20	10	22	Shanghai	Shanghai	Education
385	3.333333333	2	14	Shanghai	Shanghai	Education
386	12	10	3	Shanghai	Shanghai	Education
387	10	5	4	Shanghai	Shanghai	Education
392	60	12	30	Sichuan	Chongqing	Education
393	30	5	8	Sichuan	Sichuan	Education
394	10	12	18	Sichuan	Sichuan	Education
395	2.77	3	16	Sichuan	Sichuan	Education
396	2.77	3	16	Sichuan	Sichuan	Education
397	51	9	2	Sichuan	Sichuan	Education
400	60	10	2	Tianjin	Tianjin	Education
401	12	10	17	Tianjin	Tianjin	Education
402	0.2	10	15	Tianjin	Jiangsu	Education
415	100	4	4	Zhejiang	Zhejiang	Education
416	1.666666667	1	17	Zhejiang	Shaanxi	Education
417	1.666666667	1	17	Zhejiang	Gansu	Education
418	1.666666667	1	17	Zhejiang	Ningxia	Education
419	1.666666667	1	17	Zhejiang	Yunnan	Education
420	1.666666667	1	17	Zhejiang	Guizhou	Education
421	1.666666667	1	17	Zhejiang	Sichuan	Education
422	50	4	8	Zhejiang	Shanghai	Education
423	30	5	20	Zhejiang	Zhejiang	Education
424	2	11	1	Zhejiang	Shandong	Education
425	1.5	12	20	Zhejiang	Hubei	Education
426	1.5	5	29	Zhejiang	Zhejiang	Education
427	5	6	12	Zhejiang	Shanghai	Education
432	10	9	3		Sichuan	Education
433	0.073	1	26			Education
