id	amount	month	date	orig	dest	cause
93	3	11	9	Beijing	Hubei	Public Health
94	0.3737	12	17	Beijing	Beijing	Public Health
95	0.37043	12	17	Beijing	Beijing	Public Health
96	0.36135	12	17	Beijing	Beijing	Public Health
97	0.327545	12	17	Beijing	Beijing	Public Health
98	0.20665	12	17	Beijing	Beijing	Public Health
99	0.16559	12	17	Beijing	Beijing	Public Health
100	0.1347	12	17	Beijing	Beijing	Public Health
101	0.12505	12	17	Beijing	Beijing	Public Health
102	0.034634333	12	17	Beijing	Beijing	Public Health
103	30	12	22	Beijing	Beijing	Public Health
104	2	3		Beijing	Jiangsu	Public Health
105	1	10		Beijing	Beijing	Public Health
106	0.1	11		Beijing	Jilin	Public Health
107	16	10	17	Beijing	Beijing	Public Health
148	13870	4	19	Guangdong	Guangdong	Public Health
149		10	15	Guangdong	Guangdong	Public Health
248	10	2	27	Hebei	Beijing	Public Health
265	1	3	4	Hubei	Hubei	Public Health
334	20	12	17	Hunan	Hunan	Public Health
335	1	7	31	Hunan	Anhui	Public Health
354	500	2	29	Jiangsu	Jiangsu	Public Health
355	1	1	20	Jiangsu	Jiangsu	Public Health
388	3.333333333	2	14	Shanghai	Shanghai	Public Health
405	2	11	9	Tianjing	Sichuan	Public Health
434	10	12	14		Shanghai	Public Health
