Sector	Organization Name (CN)	Industry	Rank	Total Amout	Donation Amount (mil ￥)	Donation Month	Donation Date	Sumif(origin=dest)	Donation Origin (Province)	Donation Origin (City)	Donation Destination (Province)	Donation Destination (City)	Name of Recipient	Name of Recipient (CN)	Donation for what program?	Type of Recipient	Donation Cause	Donation Vehicle	Form of Donation	Pledge? (Y/N)	Donation Link	Donation Link 2	Donation Link 3	Other Donation Link(s)
Private	恒大集团	Real Estate	1	1054.002547	1000	1	8	0	Guangdong	Guangzhou	Guizhou	Bijie		贵州大方县政府	并设立10亿元产业扶贫专项贷款担保基金、举办四期共4000人的吸纳贫困家庭劳动力就业培训、同时为大方县14140名特困群众购买商业保险、春节前夕向大方县5.8万户贫困户发放1160万过节费、“一助一”结对帮扶了4993名农村贫困家庭留守儿童、生活困境儿童和孤儿等。	Government	Social Welfare & Poverty Alleviation	Corporation	Cash	N	http://news.ifeng.com/a/20160228/47614031_0.shtml			
Private	恒大集团	Real Estate	1	1054.002547	30	11	18	30	Guangdong	Guangzhou	Guangdong	Guangzhou	Jinan University	暨南大学	用于改善办学条件、支持学校发展	University or University Foundation	Education	Corporation	Cash	N	http://dsh.jnu.edu.cn/b1/fd/c758a111101/page.htm	http://edu.people.com.cn/n1/2016/1119/c1053-28880754.html		
Private	恒大集团	Real Estate	1	1054.002547	24.002547	7	12	24.002547	Guangdong	Guangzhou	Guangdong	Guangzhou		广东省扶贫基金会		Government Charitable Organization	Social Welfare & Poverty Alleviation	Corporation	Cash	N	http://www.gdfpjjh.org.cn/next/JzrmdFile.jsp			
Individual	陈天桥	Internet and Communication Technology	2	747.5	747.5	12	7	0	Shanghai	Shanghai	United States	Pasadena		加州理工学院	创建神经科学研究所	University or University Foundation	Education	Individual	Cash	N	http://www.caltech.edu/news/caltech-and-tianqiao-and-chrissy-chen-institute-launch-major-neuroscience-initiative-53124	http://www.yicai.com/news/5180151.html		
Individual	杨国强、杨惠妍	Real Estate	4	500	500	6	30	500	Guangdong	Foshan	Guangdong	Guangzhou		广东省人民政府		Government	Social Welfare & Poverty Alleviation	Family	Cash	N	http://news.xinhuanet.com/house/bj/2016-07-08/c_1119189091.htm			
Private	中国泛海控股集团	Finance	5	393.18	93.18	4	10	0	Beijing	Beijing	Yunnan	Kunming		昆明寻甸县政府	专项用于资助寻甸县1万名家庭贫困大学生、中央红军“4.29”渡江令发布遗址保护和光伏扶贫示范工程	Government	Unspecified	Corporation	Cash	N	http://news.xinhuanet.com/fortune/2016-04/11/c_128884071.htm	http://www.chinaoceanwide.com/content/article100_1808.html		
Private	中国泛海控股集团	Finance	5	393.18	50	5	8	0	Beijing	Beijing	Shandong			贫困家庭应届高考大学新生	泛海助学行动	Individual(s)	Education	Corporation	Cash	N	http://news.hexun.com/2016-05-09/183757808.html	http://www.chinaoceanwide.com/content/article100_1810.html		
Private	中国泛海控股集团	Finance	5	393.18	50	5	8	0	Beijing	Beijing	Hubei			贫困家庭应届高考大学新生	泛海助学行动	Individual(s)	Education	Corporation	Cash	N	http://news.hexun.com/2016-05-09/183757808.html	http://www.chinaoceanwide.com/content/article100_1810.html		
Private	中国泛海控股集团	Finance	5	393.18	50	5	8	0	Beijing	Beijing	Guangdong			贫困家庭应届高考大学新生	泛海助学行动	Individual(s)	Education	Corporation	Cash	N	http://news.hexun.com/2016-05-09/183757808.html	http://www.chinaoceanwide.com/content/article100_1810.html		
Private	中国泛海控股集团	Finance	5	393.18	50	5	8	0	Beijing	Beijing	Chongqing			贫困家庭应届高考大学新生	泛海助学行动	Individual(s)	Education	Corporation	Cash	N	http://news.hexun.com/2016-05-09/183757808.html	http://www.chinaoceanwide.com/content/article100_1810.html		
